"Actual","Predicted"
3.5,3.50971612873575
4.863,4.81827251007758
2.936,2.92819376366995
0,0.214154833333333
1.974,1.7441416463815
4.787,4.26908502569651
0,0.359406372533304
3.742,3.34359143086276
0,0.916201779197012
1.778,2.2317830042421
3.722,3.54453245530193
4.687,4.69979974750035
4.395,3.69828811929924
4.606,4.4914917189927
4.618,4.71561551868497
4.584,2.69096230324378
2.406,2.51561941419918
0,0.0082855
0,0.879504474358975
1.777,1.73887055182258
2.78,3.03215674281009
0,0.1987148
0,0.225268576190476
0,0.274132762337662
2.84,2.84243927959562
0,0.217704771794872
2.493,2.84083218222524
2.702,2.5778715293353
2.904,3.36049473322788
0,0.212184734632035
3.753,3.41121933720203
3.251,3.51989573759842
4.383,4.43913396165965
0,1.12709341052411
3.402,2.99313097177118
4.169,3.45806211154661
0,0.7627788
3.557,3.32220266424432
2.777,2.8157891467931
3.71,3.22412651427643
1.069,1.24110102260808
3.696,3.0159187312162
4.101,3.94124370890646
0,0.0175249333333333
0,0.446247066666667
3.909,2.74816818538695
3.771,2.80936205285695
2.462,3.07126583578217
3.264,3.50957777242481
4.51,3.45571775434538
0,0.638503333333333
0.625,0.685820714285714
0,0.0830032487179487
2.224,2.24096703907949
0,1.58969043431013
0,2.06083575070785
3.096,3.26965633239028
4.124,4.00671204547736
4.2,4.25716534797009
4.855,4.74665120348801
2.971,3.07984689366873
3.341,3.40386915004645
2.151,2.26913644562186
0,0.589544098100407
2.041,1.1011034529857
3.563,2.83196070358896
4.066,3.93762385982477
0.99,1.12717417910583
2.781,2.89433051833428
4.529,4.71145015370026
4.774,4.3305478422942
0,0.0116904
2.518,2.48438933840374
0,0.703544368602645
3.76,2.19535936513553
0,0.167604266666667
4.422,4.06650030507095
1.704,2.19087415087741
4.614,3.97892738288999
0,0.182660156410256
3.354,3.09227949290069
0,0.199655306060606
2.095,2.29703453103659
3.044,3.26373065713435
4.46,4.62186174623377
2.81,2.86071948909657
0,0.726356666666667
3.451,3.57940769216097
2.349,3.05726301253763
4.531,4.43973144614681
2.464,2.48451019252177
4.725,3.07654995645169
0,0.30654356031746
2.692,2.84806362339643
0,1.00857266190476
2.539,2.93184967574818
2.99,3.00551941627203
0,0.169794
3.443,4.46707169082274
0,2.50557307305765
3.514,3.6609310328468
4.224,4.33271139105186
4.797,3.73012927488014
3.844,3.09605747277889
4.55,3.11448226189278
3.334,3.00923558342825
1.616,1.97612963366034
0,0.0854985022727273
3.174,2.79273476042648
0,0.311191483333333
3.885,3.68877346127761
2.832,3.93901806530283
1.552,1.3107718105271
0,0.38639483968254
2.01,2.31424161082097
0,0.385901713027584
0,0.654896547619048
0,0.4218957
0,0.190184800569801
1.202,1.1909081933112
2.099,1.73030642953284
0,0.057964896969697
3.596,3.56338581065477
2.944,3.11895664359483
1.936,2.37068526614763
0,0.1806172
3.376,3.94471128240337
1.74,2.00947650563094
4.742,4.74196445065096
3.291,2.94023849952192
2.338,2.53362235531495
4.079,2.64620132676502
1.62,2.00814666525781
4.807,2.13460061950551
4.045,4.12676596548234
4.469,4.06227048188512
0,0.138636466666667
4.076,3.53594234708175
3.338,3.30916307101499
4.545,3.9997609992455
0,1.27129274488773
0,0.64340161058201
0,0.250712685714286
4.703,3.86260659710895
1.591,1.58317959683759
0,0.102209133333333
2.017,2.73296857224406
1.82,1.83883581153186
4.687,4.67859409633239
3.685,3.70394689861629
4.039,4.09760758848485
0,1.18857170851393
2.708,2.68865264233375
2.395,2.64931340144695
2.09,2.13313961167055
4.765,2.90416387436975
4.49,3.95626861390286
2.517,3.09339144556428
0,1.69481209462058
2.08,2.10681610694414
3.308,2.807293103608
0,0.557230913672665
0,1.18505722180694
3.317,3.22259971139038
4.598,4.42633919055857
1.622,1.57756337378408
0,0.932795744444444
2.914,3.20341061623163
2.476,2.97977586070493
1.289,1.37120649428942
2.844,2.79785141798696
4.744,4.3040434081172
0.937,1.39659187372422
4.572,4.58794308779577
3.137,2.78648706569731
4.697,4.60668716922402
0,0.309646521367521
0,0.210092433333333
4.636,3.37852170952559
2.706,2.77761006600868
2.388,2.55651455914358
3.365,3.5508792575934
4.168,3.0955730739768
0,1.37985768647806
2.794,2.98209282199563
0,0.0177626666666667
3.647,3.48067542947701
4.153,4.04305534012039
3.708,3.96641023674316
4.586,4.60188072794548
0,1.47661604065934
2.724,2.71599791188142
3.052,3.5864905079795
0,1.10854119191919
4.747,3.2178052968254
0,0.21468385
2.81,2.62361660568028
2.879,3.19528797167744
1.314,1.31142479596298
3.168,3.0548652610092
3.919,3.66408595572523
3.751,3.81047135460027
0,0.0327073
2.038,2.23292190159537
0,0.315562857142857
0,0.700420206380032
4.893,3.04632037326135
4.216,4.35132092698353
4.388,4.26592495983341
4.286,4.51133410264053
2.518,2.44598764981385
0,1.39245682446711
2.676,2.48787664467972
4.754,2.64464053445479
3.812,0.923528808074534
2.901,3.0691236010305
3.221,3.15265012827043
2.468,2.60100101526758
2.383,1.59149280329532
0,2.34897524912281
0,1.27881324170064
0,0.404139851515152
0,0.0786885076923077
3.406,3.41951455982108
1.815,1.7429774261876
3.115,2.92774926194238
2.664,1.50151530680772
3.411,3.5427101839419
4.219,3.07578706292243
3.994,3.77328697110463
0,0.646962333333333
0,0.0555122
3.921,3.84861188551125
1.718,1.60615855522011
0.685,1.5259725811683
3.613,3.8303307525641
3.543,3.34087202549015
4.948,3.76230835090341
2.397,2.69208337002684
1.035,1.15750886701581
3.801,3.85580979180691
0,0.636298584900543
4.566,4.68846152144571
4.942,1.93927859821712
4.426,3.28037486693454
0,0.0426316
1.912,2.16852096070025
0,0.0759351
0,0.73264810952381
0,0.0841659666666667
4.161,4.09972693080653
2.939,2.8806527584392
0,0.0791062333333333
3.23,3.08455223857574
3.574,3.87328336359869
0,0.166451766666667
4.575,3.94831186695547
3.494,2.68967911979308
2.286,1.77394279755142
0,1.21302749305019
3.617,3.71270783399712
0,0.7862885303041
2.819,3.26747202597035
2.421,2.28705822559901
0,0.718181994844894
2.256,2.72426592326671
0,0.201557261904762
4.686,4.69065970684101
3.78,4.07126562501422
2.153,2.20339940150411
0,0.449844018614719
2.016,3.15064856214243
2.378,2.53042329021494
3.298,2.77016454422513
4.56,4.73165463640589
3.348,2.9227153851865
4.939,3.93522391011212
2.158,2.02244010306943
2.202,2.08491330653569
3.687,3.38632376311533
0,2.35280709973686
1.491,1.18022707163694
1.986,1.88322692914009
2.354,2.0975065642625
4.757,4.65786824701855
0,0.115908533333333
3.008,2.97305366141541
2.377,2.70643571563924
0,1.28334557872128
4.598,3.22859468333333
0,1.23629035030525
2.338,2.05755114658818
2.069,2.14706619275335
0,0.926830089393939
3,2.28629152114436
3.149,3.40758547516717
0,0.803401472748662
2.15,2.34738553504513
3.59,3.07407689983478
0,2.53087026793672
4.607,4.5362300949422
1.363,1.06583708005479
4.437,3.80914842431916
2.506,2.41202953237454
0,1.09177802214322
2.338,2.39225335485097
2.066,1.81447916589977
3.253,3.03459725814554
3.467,3.89323908759998
4.096,3.8707212174694
0,0.706197191709015
0,0.0616407
3.821,3.63784200303767
0,1.33312973027166
1.77,2.30497305405602
2.814,2.86561053079989
4.841,4.46418905837418
0,0.682792277289377
4.91,4.37229039847451
2.244,2.50199901345805
0,2.88755948288731
3.113,2.9327046298866
4.253,4.00605222689844
1.258,1.28434627618387
4.461,4.1369710501115
3.132,2.77656683012579
3.434,3.07293795229885
2.273,2.99609491582662
0,0.904011926019297
2.464,3.47378663153298
2.108,1.8688333688059
0,1.16331317797301
3.626,3.52007706035296
0,0.023473
4.341,3.2070166523452
4.765,4.728534293079
2.251,2.36001208392476
3.714,3.73234307077811
4.464,2.47469541183447
4.459,4.44121980993249
3.871,3.52012992921793
1.156,1.52108888004015
4.538,4.58439308987084
1.861,2.32714565687312
2.151,2.26157957139177
1.91,2.28316928994421
4.371,3.08135818775798
0,0.413723633333333
0,2.52818811661144
2.069,2.24107589948709
