"Actual","Predicted"
3.678,2.4743076939945
4.462,2.30813136532877
4.459,2.4205046165951
0,1.89354084957714
0,-1.42896204321658
0,2.34843364735687
2.959,2.51864666463436
4.385,1.95979007891246
4.998,2.46606012133604
2.393,2.79594001979908
0,1.76439127204299
0,1.85635118042149
2.906,3.20872522811789
3.932,3.36211696948764
2.909,2.69395129108481
0,2.11152537167818
0,2.1536278088427
2.516,2.42623022224753
3.877,2.50999960718127
3.719,2.3530064348587
1.457,2.42139302516046
0,1.61240647958181
3.227,2.43312599182631
1.218,2.505560420477
0,1.93866874980925
3.961,2.66538270578499
4.712,2.73120935830632
0,2.40336901332014
0,1.84016367428965
2.215,2.43248969677869
0,2.61880450815011
4.629,2.47359528713446
2.234,3.04078310932937
3.421,3.41629924792962
3.715,2.67167236102069
2.137,2.96276574419696
3.738,2.46637335484639
3.71,2.29611507884683
0,2.0723340316141
0,2.11221830296925
3.719,-1.5960252122864
4.013,2.68957296409471
2.168,2.25471732051402
4.444,2.20088702795503
4.576,2.49230876755742
4.068,2.44905929565731
3.009,2.39265383974449
3.432,2.4631450080459
3.369,2.60989534138073
1.739,2.51238084860441
0,2.39377132025027
3.726,2.26261505106565
0,2.15755789186343
2.221,2.50072203054101
1.967,2.03333057557151
4.33,2.92453115951533
0,2.32660041854455
0,1.82514055701576
0,2.39602460387092
3.391,2.53590949427869
4.794,2.52695762197277
1.169,2.46575897462285
4.031,2.42403531125553
1.768,2.52495346903983
2.976,1.61772251899234
0,2.24661913338852
4.465,2.82951879751483
0,1.76256696703957
0,1.74948281658178
4.266,2.49982392728283
0,2.56964773555938
0,2.66120384993017
0,2.13506694940528
0,2.48727055666731
2.862,2.49754004803945
3.859,2.44760634563266
4.773,2.68736632395067
0,2.01590117529703
0,1.87929037717548
3.604,2.03371535649844
4.755,2.83764993371978
2.307,2.59873696731967
4.827,2.59107804164589
2.008,2.60844103619373
1.957,2.58082544508028
0,2.02733343535216
0,2.12049081620237
0,2.36895463086885
1.774,2.6032117455674
4.188,2.52101933150417
0,0.644014979647474
3.744,2.46809630777059
3.131,3.10176665769131
3.339,2.48215171696453
0,1.5817770889463
0,1.39896177296564
4.461,1.9935354909862
1.708,2.52068116761323
4.005,2.47537067953594
0,-0.0149835447280437
0,0.00896120965629769
4.931,2.60285259513946
3.431,2.22182103237537
2.602,2.40723537013535
3.27,3.22791738870982
4.458,2.18451211539638
4.222,2.66888385534776
2.58,2.92560408179808
3.125,3.33679782361072
3.805,2.46878437191907
4.639,2.43170873714263
2.83,2.29699015341625
2.905,2.7058651230669
3.548,2.72232165960796
1.663,2.39968247085621
2.166,2.31857205768441
1.584,2.41830801576584
2.922,2.91650523515423
3.361,1.94306502743982
0,2.57555302698708
0,1.66226719004031
2.095,2.434615852873
3.223,2.28380564458089
1.964,2.71728476543645
0,2.48660512433829
0,1.82574780870878
2.367,2.77249386228971
0,2.65371037832998
3.278,2.80846161950191
0,1.28481368273308
4.052,2.51663922306439
2.028,2.56078200367956
4.203,2.19323826844339
2.481,1.77650553734779
1.81,4.11028490804334
2.6,3.16095594474546
2.415,2.69486883332079
4.513,2.40272650216023
3.845,3.20488451995868
2.62,2.77410306191175
2.677,2.13591724851198
3.721,2.83404214319344
1.368,2.46847801675419
0,2.22845203222634
4.055,2.62831081326359
2.784,3.20880119343088
3.859,2.31501223769827
0,2.49702480915594
3.601,2.46462155612054
4.198,2.63120101691623
1.437,2.17719601288114
2.329,2.60872234529961
2.852,2.38738327890314
4.765,2.581863358065
0,2.46031861002312
4.576,2.51652229995828
4.124,2.4613515993272
1.078,2.40473943111138
0,2.25504715964305
0,2.90876572093145
0,2.54672274349856
0,1.5506492297913
